🕘️更新时间,#genre#
CETV-1,http://117.174.25.254:8188/rtp/239.0.0.51:5140$订阅源
CETV-1,http://223.167.245.215:8001/rtp/239.45.1.125:5140$订阅源
CETV-1,http://ygbh.site/php/bfgd.php?id=135$订阅源
CETV-2,http://223.167.245.215:8001/rtp/239.45.1.52:5140$订阅源
CETV-2,http://ygbh.site/php/bfgd.php?id=492$订阅源
CETV-4,http://221.10.226.195:5000/rtp/239.0.0.98:5140$订阅源
CETV-4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140$订阅源
CETV-4,http://223.167.245.215:8001/rtp/239.45.1.50:5140$订阅源
CETV-4,http://111.43.126.240:9003/hls/36/index.m3u8$订阅源

💰央视付费频道,#genre#
央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140$订阅源
央视台球,http://183.11.239.36:808/hls/73/index.m3u8$订阅源
风云音乐,http://120.238.94.10:9901/tsfile/live/1089_1.m3u8$订阅源
风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140$订阅源
第一剧场,http://iptv.4666888.xyz/iptv2A.php?id=13$订阅源
第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140$订阅源
风云剧场,http://120.238.94.10:9901/tsfile/live/1090_1.m3u8$订阅源
风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140$订阅源
怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140$订阅源
女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140$订阅源
高尔夫网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140$订阅源
风云足球,http://61.184.46.85:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140$订阅源
风云足球,http://183.11.239.36:808/hls/133/index.m3u8$订阅源
风云足球,http://dassby.qqff.top:99/live/风云足球/index.m3u8$订阅源
电视指南,http://ygbh.site/php/bfgd.php?id=164$订阅源
世界地理,http://61.184.46.85:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
世界地理,http://111.61.236.247:9081/hls/62/index.m3u8$订阅源
世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140$订阅源
世界地理,http://183.11.239.36:808/hls/11/index.m3u8$订阅源
世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8$订阅源
世界地理,http://ygbh.site/php/bfgd.php?id=177$订阅源
兵器科技,http://120.238.94.10:9901/tsfile/live/1096_1.m3u8$订阅源
兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140$订阅源

📡卫视频道,#genre#
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4$订阅源
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8$订阅源
广东卫视,http://113.26.202.52:1299/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8$订阅源
广东卫视,http://222.169.85.8:9901/tsfile/live/0125_1.m3u8?#rtsp://116.176.26.18/PLTV/88888910/224/3221225527/10000100000000060000000000107307_0.smil#rtsp://60.13.39.18/PLTV/88888910/224/3221225551/10000100000000060000000000107331_0.smil$订阅源
